Mapping Row ID	User Intent Component	User Intent IDs	User Intent Names	IAB Audience Taxonomy Version	IAB Audience Candidate IDs	IAB Audience Candidate Names	Relationship Type	Mapping Confidence	Review Status	Mapping Notes
UIT-A-0125	Intent Domain	ID-I210	Energy Providers	1.1		Interest-based or purchase-intent energy providers segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0126	Intent Domain	ID-I220	Utility Account Services	1.1		Interest-based or purchase-intent utility account services segments	Adjacent	Low	Proposed	Audience taxonomy can describe relevant segments, but not the immediate page- or query-level user posture represented by user intent taxonomy.
UIT-A-0127	Intent Domain	ID-J000	Business and B2B Solutions	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0128	Intent Domain	ID-J100	Software and SaaS	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0129	Intent Domain	ID-J110	CRM Sales and Marketing	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0130	Intent Domain	ID-J120	Finance HR and Operations Software	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0131	Intent Domain	ID-J200	Infrastructure and Data	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0132	Intent Domain	ID-J210	Cloud and Security	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0133	Intent Domain	ID-J220	Data AI and Analytics	1.1			No direct equivalent	High	Proposed	The standard audience taxonomy is not a clean fit for B2B solution-evaluation states.
UIT-A-0134	Intent Domain	ID-K000	Nonprofit and Causes	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0135	Intent Domain	ID-K100	Cause Discovery	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0136	Intent Domain	ID-K110	Charities and Donations	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0137	Intent Domain	ID-K120	Volunteer Opportunities	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0138	Intent Domain	ID-K200	Cause Participation	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0139	Intent Domain	ID-K210	Donations	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0140	Intent Domain	ID-K220	Volunteer Support	1.1		Cause or philanthropic interest segments	Adjacent	Low	Proposed	Cause and nonprofit domains can inform interest segments, but participation states are not equivalent to standard audience labels.
UIT-A-0141	Intent Domain	ID-L000	Legal and Compliance	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0142	Intent Domain	ID-L100	Personal Legal Services	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0143	Intent Domain	ID-L110	Family and Civil Matters	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0144	Intent Domain	ID-L120	Injury and Claims	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0145	Intent Domain	ID-L200	Business Legal and Compliance	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0146	Intent Domain	ID-L210	Contracts and Corporate Matters	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0147	Intent Domain	ID-L220	Privacy Risk and Compliance	1.1		Legal or compliance-oriented audience segments	No direct equivalent	High	Proposed	Legal and compliance states are not clean standard audience segment concepts and can raise policy and sensitivity issues.
UIT-A-0148	Intent Domain	ID-M000	Community and Social	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0149	Intent Domain	ID-M100	Local Community	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0150	Intent Domain	ID-M110	Local Groups	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0151	Intent Domain	ID-M120	Events and Meetups	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0152	Intent Domain	ID-M200	Online Communities	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0153	Intent Domain	ID-M210	Interest Communities	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0154	Intent Domain	ID-M220	Support Communities	1.1		Community or social-interest audience segments	Adjacent	Low	Proposed	Community and social domains can inform affinity segments, but not the immediate user posture from content consumption.
UIT-A-0155	Intent Pattern	IP-1000	Purchase Intent	1.1		Purchase Intent Classification	Adjacent	High	Proposed	Audience taxonomy explicitly supports purchase-intent style segments, but those segments are cohort labels rather than immediate inferred behavior from content.
UIT-A-0156	Intent Pattern	IP-5000	Quote and Estimate Intent	1.1		Purchase Intent Classification	Adjacent	Medium	Proposed	Closest fit is the purchase-intent branch, but quote-seeking is more operational and event-like than a general audience segment.
UIT-A-0157	Intent Pattern	IP-6000	Comparison Intent	1.1			No direct equivalent	High	Proposed	Comparison behavior is central to user intent, but not a standard audience segment concept.
UIT-A-0158	Intent Pattern	IP-2310	Demo Request	1.1			No direct equivalent	High	Proposed	Demo-request behavior is too specific and action-oriented for standard audience taxonomy treatment.
UIT-A-0159	Intent Modifier	IM-2000	Local	1.1			No direct equivalent	High	Proposed	Locality may coexist with geo targeting, but it is not itself a standard audience segment concept here.
UIT-A-0160	Intent Modifier	IM-5000	Urgency	1.1			No direct equivalent	High	Proposed	Urgency is a temporal behavioral overlay rather than a stable audience descriptor.
UIT-A-0161	Intent Stage	IS-8000	Ready to Act	1.1		Purchase Intent Classification	Adjacent	Medium	Proposed	Closest fit is high purchase intent, but stage is still more immediate and state-based than an audience label.
UIT-A-0162	Commercial Readiness	CR-3000	Transaction Readiness	1.1		Purchase Intent Classification	Adjacent	Medium	Proposed	Useful for deriving audience-like signals, but not equivalent to the standard audience taxonomy structure.
UIT-A-0163	Example Combination	IP-1220|ID-2000|IM-1000|IM-2000|IM-5000|IM-6000	Ready to Buy Major Item|Automotive|Deal Seeking|Local|Urgency|Budget Conscious	1.1		Automotive purchase-intent audience segment	Adjacent	Medium	Proposed	Audience taxonomy can approximate this as an automotive intender segment, but loses the local, urgent, and page-level behavioral specificity.
UIT-A-0164	Example Combination	IP-2310|ID-J000|IM-4000|IM-3000	Demo Request|Business and B2B Solutions|Vendor Focused|Brand Focused	1.1			No direct equivalent	High	Proposed	This is a good example of a valuable user intent state that is not cleanly expressible in the current audience taxonomy.
